1013,1,2,12,2,2,1,34,5,1,2,1,N,2,4531,4514,17,5545,3522,4565,1479,1479,280,960,239,0,0,0,0,0,0,0,3086,0,2023,2023,2023,1962,0,0,61,0,0,0,0,0,1962,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,980,920,60,0,60,0,0,918
1014,1,2,15,2,2,1,32,5,1,4,1,N,4,1220,1111,109,3856,2548,3856,407,407,147,260,0,0,0,0,0,0,0,0,3449,0,1308,1308,1308,1286,0,0,22,0,0,0,0,0,1286,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502
1015,1,2,15,2,2,2,29,5,1,1,1,O,3,4203,4199,4,4536,2346,3936,487,487,107,380,0,0,0,0,0,0,0,0,3449,0,2190,2190,2190,2152,0,0,38,0,0,0,0,0,2152,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,600,590,10,0,10,0,0,1502
1016,2,2,26,2,2,1,57,3,1,2,3,O,2,7486,7161,325,114318,100672,22032,12032,4032,2800,1210,22,6000,6000,0,0,2000,0,2000,10000,0,13646,8646,7346,6180,200,750,216,1300,1300,0,5000,6180,0,0,0,0,0,0,0,2466,0,90186,7000,0,7000,83186,3186,80000,0,2100,800,1300,800,500,0,0,1781
1017,1,2,26,3,1,1,56,4,1,2,1,Q,2,4914,4914,0,69309,62907,5300,5300,300,300,0,0,5000,5000,0,0,0,0,0,0,0,6402,6402,6202,5842,30,250,80,200,200,0,0,5842,0,0,0,0,0,0,0,560,0,63431,55100,21000,34100,8331,8331,0,0,578,500,78,0,78,0,0,1781
1018,2,2,26,4,1,1,49,6,1,2,3,O,2,5494,5261,233,22070,17247,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,4823,4823,3023,2968,15,0,40,1800,1800,0,0,2968,0,0,0,0,0,0,0,1855,0,21000,21000,21000,0,0,0,0,0,1000,1000,0,0,0,0,0,1781
1019,1,2,26,5,1,1,44,5,1,2,1,K,0,4476,4061,415,32318,22180,6861,6861,1861,117,14,1730,1000,0,1000,0,4000,0,4000,0,0,10138,8438,7146,4300,0,2800,46,1292,1292,0,1700,8392,0,0,0,0,0,0,0,46,0,24960,24960,21000,3960,0,0,0,0,497,400,97,0,97,0,0,1781
102,1,2,48,2,1,1,47,5,1,1,1,Q,1,4349,4106,243,173682,161630,7200,7200,4700,1410,2820,470,2500,2500,0,0,0,0,0,0,0,12052,9052,9052,8982,0,0,70,0,0,0,3000,9052,0,0,0,0,0,0,0,0,0,164832,130000,130000,0,34832,8832,26000,0,1650,650,1000,0,1000,0,0,1159
1020,1,2,26,4,1,1,58,6,1,2,1,O,1,5452,5314,138,74420,62620,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,11800,6800,6800,6500,0,300,0,0,0,0,5000,6500,0,0,0,0,0,0,0,300,0,72328,55000,22000,33000,17328,17328,0,0,1842,1800,42,0,42,0,0,1781
1021,2,2,26,4,1,1,41,3,1,2,3,G,5,4232,4214,18,68113,62742,34163,34163,4723,3610,0,1113,29300,8300,21000,0,140,140,0,0,0,5371,5371,4821,4196,60,400,165,550,550,0,0,4196,0,0,0,0,0,0,0,1175,0,33000,22000,22000,0,11000,11000,0,0,950,900,50,0,50,0,0,1781
1022,1,2,26,2,1,1,50,3,1,1,1,G,8,3483,3344,139,21839,16400,5084,5084,2084,700,0,1384,0,0,0,0,3000,0,3000,0,0,5439,2939,2939,2877,0,0,62,0,0,0,2500,2577,0,0,0,0,0,0,300,62,0,16755,13500,10000,3500,3255,3255,0,0,0,0,0,0,0,0,0,1781
1023,2,2,26,4,1,2,47,3,1,2,3,G,5,3689,3620,69,23191,19859,7836,7836,1236,120,420,696,3350,3350,0,0,3250,3250,0,0,0,3332,3332,3332,3242,0,0,90,0,0,0,0,3242,0,0,0,0,0,0,0,90,0,15255,10000,10000,0,5255,3255,2000,0,100,0,100,0,100,0,0,1781
